Unnamed: 0,Season,Game_ID,PLAYER_NAME,Team,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
274650,2018,21800176,Anthony Davis,NOP,"NOV 10, 2018",NOP vs. PHX,W,36,7,18.0,0.389,0.0,2.0,0.0,12,12.0,1.0,4.0,9.0,13.0,6.0,1.0,2.0,1.0,2.0,26,26.0,1
274660,2018,21701212,Anthony Davis,NOP,"APR 09, 2018",NOP @ LAC,W,35,11,22.0,0.5,0.0,1.0,0.0,6,7.0,0.857,1.0,5.0,6.0,2.0,2.0,5.0,1.0,1.0,28,28.0,1
274659,2018,21701226,Anthony Davis,NOP,"APR 11, 2018",NOP vs. SAS,W,35,8,18.0,0.444,0.0,1.0,0.0,6,12.0,0.5,4.0,11.0,15.0,1.0,3.0,4.0,5.0,2.0,22,14.0,1
274658,2018,21800009,Anthony Davis,NOP,"OCT 17, 2018",NOP @ HOU,W,39,13,21.0,0.619,0.0,0.0,0.0,6,7.0,0.857,2.0,14.0,16.0,8.0,3.0,3.0,1.0,5.0,32,23.0,1
274657,2018,21800022,Anthony Davis,NOP,"OCT 19, 2018",NOP vs. SAC,W,27,8,12.0,0.667,1.0,1.0,1.0,8,12.0,0.667,4.0,6.0,10.0,6.0,2.0,2.0,4.0,1.0,25,21.0,1
274656,2018,21800050,Anthony Davis,NOP,"OCT 23, 2018",NOP vs. LAC,W,40,11,21.0,0.524,2.0,3.0,0.667,10,15.0,0.667,5.0,8.0,13.0,2.0,1.0,5.0,0.0,3.0,34,15.0,1
274655,2018,21800072,Anthony Davis,NOP,"OCT 26, 2018",NOP vs. BKN,W,38,6,19.0,0.316,1.0,3.0,0.333,5,7.0,0.714,4.0,10.0,14.0,3.0,4.0,5.0,1.0,4.0,18,5.0,1
274654,2018,21800108,Anthony Davis,NOP,"OCT 31, 2018",NOP @ GSW,L,41,6,16.0,0.375,1.0,4.0,0.25,4,5.0,0.8,3.0,9.0,12.0,7.0,0.0,1.0,2.0,3.0,17,-5.0,1
274653,2018,21800130,Anthony Davis,NOP,"NOV 03, 2018",NOP @ SAS,L,40,5,13.0,0.385,0.0,2.0,0.0,7,10.0,0.7,0.0,8.0,8.0,3.0,2.0,5.0,3.0,3.0,17,-5.0,1
274652,2018,21800144,Anthony Davis,NOP,"NOV 05, 2018",NOP @ OKC,L,38,7,20.0,0.35,0.0,1.0,0.0,6,7.0,0.857,4.0,4.0,8.0,1.0,0.0,1.0,5.0,2.0,20,-18.0,1
274637,2018,21800363,Anthony Davis,NOP,"DEC 05, 2018",NOP vs. DAL,W,34,10,20.0,0.5,2.0,2.0,1.0,5,6.0,0.833,0.0,4.0,4.0,9.0,2.0,5.0,2.0,2.0,27,12.0,1
274673,2018,21701025,Anthony Davis,NOP,"MAR 15, 2018",NOP @ SAS,L,36,8,19.0,0.421,0.0,2.0,0.0,5,5.0,1.0,5.0,9.0,14.0,2.0,0.0,2.0,6.0,6.0,21,1.0,2
274674,2018,21701011,Anthony Davis,NOP,"MAR 13, 2018",NOP vs. CHA,W,39,13,26.0,0.5,0.0,3.0,0.0,5,6.0,0.833,3.0,11.0,14.0,3.0,2.0,5.0,3.0,2.0,31,9.0,1
274675,2018,21700995,Anthony Davis,NOP,"MAR 11, 2018",NOP vs. UTA,L,40,9,22.0,0.409,1.0,4.0,0.25,6,6.0,1.0,2.0,9.0,11.0,3.0,3.0,10.0,2.0,1.0,25,-10.0,1
274663,2018,21701173,Anthony Davis,NOP,"APR 04, 2018",NOP vs. MEM,W,31,8,13.0,0.615,1.0,1.0,1.0,11,13.0,0.846,4.0,8.0,12.0,2.0,2.0,3.0,2.0,2.0,28,38.0,1
274687,2018,21700793,Anthony Davis,NOP,"FEB 05, 2018",NOP vs. UTA,L,35,6,16.0,0.375,0.0,2.0,0.0,3,4.0,0.75,2.0,9.0,11.0,3.0,1.0,3.0,5.0,2.0,15,-11.0,1
274685,2018,21700826,Anthony Davis,NOP,"FEB 10, 2018",NOP @ BKN,W,50,16,35.0,0.457,3.0,5.0,0.6,9,14.0,0.643,4.0,13.0,17.0,2.0,6.0,3.0,3.0,2.0,44,9.0,1
274684,2018,21700841,Anthony Davis,NOP,"FEB 12, 2018",NOP @ DET,W,37,14,24.0,0.583,3.0,6.0,0.5,7,7.0,1.0,1.0,9.0,10.0,1.0,1.0,2.0,2.0,1.0,38,18.0,1
274683,2018,21700862,Anthony Davis,NOP,"FEB 14, 2018",NOP vs. LAL,W,33,15,18.0,0.833,2.0,2.0,1.0,10,11.0,0.909,3.0,12.0,15.0,3.0,3.0,2.0,1.0,2.0,42,22.0,1
274682,2018,21700879,Anthony Davis,NOP,"FEB 23, 2018",NOP vs. MIA,W,41,17,34.0,0.5,1.0,6.0,0.167,10,11.0,0.909,4.0,13.0,17.0,2.0,5.0,5.0,2.0,2.0,45,-3.0,1
274681,2018,21700893,Anthony Davis,NOP,"FEB 25, 2018",NOP @ MIL,W,43,12,26.0,0.462,0.0,3.0,0.0,3,4.0,0.75,5.0,8.0,13.0,1.0,2.0,2.0,3.0,4.0,27,6.0,1
274680,2018,21700902,Anthony Davis,NOP,"FEB 26, 2018",NOP vs. PHX,W,39,16,29.0,0.552,0.0,1.0,0.0,21,26.0,0.808,8.0,10.0,18.0,3.0,1.0,5.0,1.0,3.0,53,9.0,1
274679,2018,21700920,Anthony Davis,NOP,"FEB 28, 2018",NOP @ SAS,W,37,9,19.0,0.474,0.0,0.0,0.0,8,8.0,1.0,5.0,10.0,15.0,1.0,2.0,0.0,4.0,2.0,26,5.0,2
274678,2018,21700946,Anthony Davis,NOP,"MAR 04, 2018",NOP @ DAL,W,37,9,19.0,0.474,0.0,1.0,0.0,5,5.0,1.0,1.0,12.0,13.0,1.0,3.0,3.0,1.0,3.0,23,21.0,1
274677,2018,21700964,Anthony Davis,NOP,"MAR 06, 2018",NOP @ LAC,W,37,17,31.0,0.548,4.0,7.0,0.571,3,3.0,1.0,3.0,10.0,13.0,2.0,3.0,4.0,4.0,3.0,41,3.0,1
274676,2018,21700969,Anthony Davis,NOP,"MAR 07, 2018",NOP @ SAC,W,23,7,11.0,0.636,2.0,3.0,0.667,1,1.0,1.0,1.0,4.0,5.0,1.0,2.0,5.0,3.0,2.0,17,8.0,1
274686,2018,21700818,Anthony Davis,NOP,"FEB 09, 2018",NOP @ PHI,L,28,6,19.0,0.316,0.0,3.0,0.0,2,3.0,0.667,0.0,8.0,8.0,0.0,1.0,0.0,0.0,2.0,14,-29.0,1
9227,2018,21700855,Bam Adebayo,MIA,"FEB 14, 2018",MIA @ PHI,L,19,0,3.0,0.0,0.0,0.0,0.0,3,4.0,0.75,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,3,-12.0,1
9226,2018,21700879,Bam Adebayo,MIA,"FEB 23, 2018",MIA @ NOP,L,19,2,2.0,1.0,0.0,0.0,0.0,2,4.0,0.5,0.0,8.0,8.0,2.0,0.0,0.0,1.0,4.0,6,2.0,1
9225,2018,21700885,Bam Adebayo,MIA,"FEB 24, 2018",MIA vs. MEM,W,18,5,7.0,0.714,0.0,0.0,0.0,3,4.0,0.75,2.0,5.0,7.0,1.0,1.0,0.0,0.0,1.0,13,24.0,1
9234,2018,21700757,Bam Adebayo,MIA,"JAN 31, 2018",MIA @ CLE,L,19,3,5.0,0.6,0.0,0.0,0.0,3,5.0,0.6,1.0,4.0,5.0,1.0,0.0,0.0,3.0,0.0,9,-2.0,1
9236,2018,21700727,Bam Adebayo,MIA,"JAN 27, 2018",MIA vs. CHA,W,26,4,6.0,0.667,0.0,0.0,0.0,0,0.0,0.0,2.0,10.0,12.0,0.0,1.0,1.0,1.0,1.0,8,13.0,1
9237,2018,21700710,Bam Adebayo,MIA,"JAN 25, 2018",MIA vs. SAC,L,21,2,4.0,0.5,0.0,0.0,0.0,2,2.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,6,10.0,1
9235,2018,21700742,Bam Adebayo,MIA,"JAN 29, 2018",MIA @ DAL,W,19,1,3.0,0.333,0.0,0.0,0.0,0,0.0,0.0,2.0,3.0,5.0,4.0,1.0,1.0,2.0,1.0,2,0.0,1
9233,2018,21700770,Bam Adebayo,MIA,"FEB 02, 2018",MIA @ PHI,L,29,5,9.0,0.556,0.0,0.0,0.0,5,10.0,0.5,5.0,8.0,13.0,6.0,0.0,0.0,0.0,4.0,15,9.0,1
9232,2018,21700776,Bam Adebayo,MIA,"FEB 03, 2018",MIA @ DET,L,24,2,5.0,0.4,0.0,0.0,0.0,0,2.0,0.0,1.0,4.0,5.0,0.0,0.0,1.0,0.0,2.0,4,-11.0,1
9231,2018,21700792,Bam Adebayo,MIA,"FEB 05, 2018",MIA vs. ORL,L,26,6,13.0,0.462,0.0,2.0,0.0,6,8.0,0.75,2.0,8.0,10.0,1.0,1.0,2.0,0.0,2.0,18,-7.0,1
9230,2018,21700806,Bam Adebayo,MIA,"FEB 07, 2018",MIA vs. HOU,L,15,2,2.0,1.0,0.0,0.0,0.0,1,1.0,1.0,2.0,3.0,5.0,2.0,0.0,2.0,1.0,2.0,5,-11.0,1
9229,2018,21700821,Bam Adebayo,MIA,"FEB 09, 2018",MIA vs. MIL,W,32,3,7.0,0.429,0.0,0.0,0.0,9,10.0,0.9,1.0,9.0,10.0,3.0,0.0,2.0,2.0,4.0,15,-4.0,1
9228,2018,21700847,Bam Adebayo,MIA,"FEB 13, 2018",MIA @ TOR,L,25,3,6.0,0.5,0.0,0.0,0.0,5,5.0,1.0,1.0,4.0,5.0,3.0,0.0,1.0,2.0,3.0,11,7.0,1
9248,2018,21700558,Bam Adebayo,MIA,"JAN 03, 2018",MIA vs. DET,W,10,0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0,-5.0,1
9247,2018,21700568,Bam Adebayo,MIA,"JAN 05, 2018",MIA vs. NYK,W,15,0,0.0,0.0,0.0,0.0,0.0,2,2.0,1.0,1.0,6.0,7.0,2.0,0.0,0.0,1.0,0.0,2,-5.0,1
